period,reserve_mw,supply_mw,model,threshold_pct,selected_capacity_mwh,native_deficit_pct,false_feasible
calibration,0.25,0.25,5minute,0.1,0.5,0.4383789442485357,True
calibration,0.25,0.25,envelope,0.1,0.5,1.601751278417172e-10,False
calibration,0.25,0.25,minute,0.1,0.5,0.01474882423962424,False
calibration,0.25,0.25,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.25,quarter,0.1,0.5,1.2590884173535273,True
calibration,0.25,0.5,5minute,0.1,0.5,0.4383789442485357,True
calibration,0.25,0.5,envelope,0.1,0.5,1.601751278417172e-10,False
calibration,0.25,0.5,minute,0.1,0.5,0.01474882423962424,False
calibration,0.25,0.5,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.5,quarter,0.1,0.5,1.2590884173535273,True
calibration,0.25,0.75,5minute,0.1,0.5,0.4383789442485357,True
calibration,0.25,0.75,envelope,0.1,0.5,1.601751278417172e-10,False
calibration,0.25,0.75,minute,0.1,0.5,0.01474882423962424,False
calibration,0.25,0.75,native,0.1,0.5,1.6044547531691893e-10,False
calibration,0.25,0.75,quarter,0.1,0.5,1.2590884173535273,True
calibration,0.5,0.25,5minute,0.1,1.0,0.43899904542637697,True
calibration,0.5,0.25,envelope,0.1,1.0,1.6005806933578384e-10,False
calibration,0.5,0.25,minute,0.1,1.0,0.020957349378679706,False
calibration,0.5,0.25,native,0.1,1.0,1.6029614367425095e-10,False
calibration,0.5,0.25,quarter,0.1,1.0,1.2593706307946082,True
calibration,0.5,0.5,5minute,0.1,1.0,0.4383789442485361,True
calibration,0.5,0.5,envelope,0.1,1.0,1.601751278417172e-10,False
calibration,0.5,0.5,minute,0.1,1.0,0.01474882423962424,False
calibration,0.5,0.5,native,0.1,1.0,1.6044547531691893e-10,False
calibration,0.5,0.5,quarter,0.1,1.0,1.2590884173535284,True
calibration,0.5,0.75,5minute,0.1,1.0,0.4183783389631133,True
calibration,0.5,0.75,envelope,0.1,1.0,0.022940357378749974,False
calibration,0.5,0.75,minute,0.1,1.0,1.129265979122861e-10,False
calibration,0.5,0.75,native,0.1,1.0,0.02294035737915631,False
calibration,0.5,0.75,quarter,0.1,1.0,1.2449196111152758,True
calibration,0.75,0.25,5minute,0.1,2.0,0.3493667642356753,True
calibration,0.75,0.25,envelope,0.1,2.0,0.03680037888146333,False
calibration,0.75,0.25,minute,0.1,2.0,1.5617665287747134e-10,False
calibration,0.75,0.25,native,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.25,quarter,0.1,2.0,1.1670118713456759,True
calibration,0.75,0.5,5minute,0.1,2.0,0.3493667642356753,True
calibration,0.75,0.5,envelope,0.1,2.0,0.03680037888146333,False
calibration,0.75,0.5,minute,0.1,2.0,1.5617665287747134e-10,False
calibration,0.75,0.5,native,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.5,quarter,0.1,2.0,1.1670118713456759,True
calibration,0.75,0.75,5minute,0.1,2.0,0.3493667642356753,True
calibration,0.75,0.75,envelope,0.1,2.0,0.03680037888146333,False
calibration,0.75,0.75,minute,0.1,2.0,1.5617665287747134e-10,False
calibration,0.75,0.75,native,0.1,2.0,0.036800378882099194,False
calibration,0.75,0.75,quarter,0.1,2.0,1.1670118713456759,True
development,0.25,0.25,5minute,0.1,0.5,0.4843445772092465,True
development,0.25,0.25,envelope,0.1,0.5,1.5059489843410624e-10,False
development,0.25,0.25,minute,0.1,0.5,0.13702985072594284,True
development,0.25,0.25,native,0.1,0.5,1.5069864415148277e-10,False
development,0.25,0.25,quarter,0.1,0.5,1.1500234130476608,True
development,0.25,0.5,5minute,0.1,0.5,0.4843445772092465,True
development,0.25,0.5,envelope,0.1,0.5,1.5059489843410624e-10,False
development,0.25,0.5,minute,0.1,0.5,0.13702985072594284,True
development,0.25,0.5,native,0.1,0.5,1.5069864415148277e-10,False
development,0.25,0.5,quarter,0.1,0.5,1.1500234130476608,True
development,0.25,0.75,5minute,0.1,0.5,0.4843445772092465,True
development,0.25,0.75,envelope,0.1,0.5,1.5059489843410624e-10,False
development,0.25,0.75,minute,0.1,0.5,0.13702985072594284,True
development,0.25,0.75,native,0.1,0.5,1.5069864415148277e-10,False
development,0.25,0.75,quarter,0.1,0.5,1.1500234130476608,True
development,0.5,0.25,5minute,0.1,1.0,0.4870295765778643,True
development,0.5,0.25,envelope,0.1,1.0,1.5031924473030557e-10,False
development,0.5,0.25,minute,0.1,1.0,0.13325773326586415,True
development,0.5,0.25,native,0.1,1.0,1.5045907514784264e-10,False
development,0.5,0.25,quarter,0.1,1.0,1.152506254557287,True
development,0.5,0.5,5minute,0.1,1.0,0.484344577209247,True
development,0.5,0.5,envelope,0.1,1.0,1.5059489843410624e-10,False
development,0.5,0.5,minute,0.1,1.0,0.13702985072594315,True
development,0.5,0.5,native,0.1,1.0,1.5069864415148277e-10,False
development,0.5,0.5,quarter,0.1,1.0,1.1500234130476619,True
development,0.5,0.75,5minute,0.1,1.0,0.4843611959223078,True
development,0.5,0.75,envelope,0.1,1.0,1.5059365434209987e-10,False
development,0.5,0.75,minute,0.1,1.0,0.1311741256769934,True
development,0.5,0.75,native,0.1,1.0,1.5069290636035163e-10,False
development,0.5,0.75,quarter,0.1,1.0,1.1501002568615715,True
development,0.75,0.25,5minute,0.1,2.0,0.5407021094857754,True
development,0.75,0.25,envelope,0.1,2.0,2.007859855546017e-10,False
development,0.75,0.25,minute,0.1,2.0,0.11651158161573434,True
development,0.75,0.25,native,0.1,2.0,2.0071325725527986e-10,False
development,0.75,0.25,quarter,0.1,2.0,1.1990495208865692,True
development,0.75,0.5,5minute,0.1,2.0,0.5407021094857754,True
development,0.75,0.5,envelope,0.1,2.0,2.007859855546017e-10,False
development,0.75,0.5,minute,0.1,2.0,0.11651158161573434,True
development,0.75,0.5,native,0.1,2.0,2.0071325725527986e-10,False
development,0.75,0.5,quarter,0.1,2.0,1.1990495208865692,True
development,0.75,0.75,5minute,0.1,2.0,0.5407021094857754,True
development,0.75,0.75,envelope,0.1,2.0,2.007859855546017e-10,False
development,0.75,0.75,minute,0.1,2.0,0.11651158161573434,True
development,0.75,0.75,native,0.1,2.0,2.0071325725527986e-10,False
development,0.75,0.75,quarter,0.1,2.0,1.1990495208865692,True
evaluation,0.25,0.25,5minute,0.1,0.5,0.44643072580653675,True
evaluation,0.25,0.25,envelope,0.1,0.5,1.2946584646312202e-10,False
evaluation,0.25,0.25,minute,0.1,0.5,0.08631116887403474,False
evaluation,0.25,0.25,native,0.1,0.5,1.2954569596109062e-10,False
evaluation,0.25,0.25,quarter,0.1,0.5,1.254619690335631,True
evaluation,0.25,0.5,5minute,0.1,0.5,0.44643072580653675,True
evaluation,0.25,0.5,envelope,0.1,0.5,1.2946584646312202e-10,False
evaluation,0.25,0.5,minute,0.1,0.5,0.08631116887403474,False
evaluation,0.25,0.5,native,0.1,0.5,1.2954569596109062e-10,False
evaluation,0.25,0.5,quarter,0.1,0.5,1.254619690335631,True
evaluation,0.25,0.75,5minute,0.1,0.5,0.44643072580653675,True
evaluation,0.25,0.75,envelope,0.1,0.5,1.2946584646312202e-10,False
evaluation,0.25,0.75,minute,0.1,0.5,0.08631116887403474,False
evaluation,0.25,0.75,native,0.1,0.5,1.2954569596109062e-10,False
evaluation,0.25,0.75,quarter,0.1,0.5,1.254619690335631,True
evaluation,0.5,0.25,5minute,0.1,1.0,0.444617132248283,True
evaluation,0.5,0.25,envelope,0.1,1.0,1.2940299293521623e-10,False
evaluation,0.5,0.25,minute,0.1,1.0,0.08697384128573964,False
evaluation,0.5,0.25,native,0.1,1.0,1.2947339220550153e-10,False
evaluation,0.5,0.25,quarter,0.1,1.0,1.252646672313607,True
evaluation,0.5,0.5,5minute,0.1,1.0,0.44643072580653725,True
evaluation,0.5,0.5,envelope,0.1,1.0,1.2946584646312202e-10,False
evaluation,0.5,0.5,minute,0.1,1.0,0.0863111688740348,False
evaluation,0.5,0.5,native,0.1,1.0,1.2954569596109062e-10,False
evaluation,0.5,0.5,quarter,0.1,1.0,1.2546196903356321,True
